"id","GPA","QI","act","male","race","age","fulltime","PellEligible","firstgen","major","ftfy","motivation","work"
1167,3,32,22,1,4,16,1,0,0,5,1,20,0
1168,3,42,20,0,4,18,1,0,0,4,1,35,1
1169,3.67,60,24,0,4,19,1,0,0,11,1,60,1
1170,3.67,60,31,0,4,18,1,0,0,5,1,45,1
1171,3.33,50,23,0,4,18,1,0,0,9,1,52.5,0
1172,3,46,23,0,4,18,1,0,0,9,1,55,0
1173,3.67,32,21,0,4,18,1,0,0,1,1,32.5,0
1174,3.33,45,24,0,4,18,1,0,0,2,1,60,0
1175,4,50,32,1,5,18,1,0,0,3,1,60,1
1176,3.33,22,22,0,4,18,1,0,0,1,1,27.5,0
1177,3,34,27,0,4,19,1,0,1,8,1,60,1
1178,3.33,32,22,0,4,19,1,0,1,10,1,51.4285714285714,0
1179,4,50,29,0,4,18,1,0,0,4,1,40,0
1180,3,30,30,1,4,19,1,0,0,8,1,30,1
1181,3.67,38,27,0,4,19,1,0,0,6,1,30,0
1182,4,44,33,0,4,18,1,0,0,9,1,40,0
1183,4,54,33,0,4,19,1,0,0,8,1,57.5,0
1184,4,46,30,0,4,18,1,0,0,9,1,37.5,0
1185,3.33,40,30,1,4,18,1,0,0,5,1,7.5,0
1186,3.33,25,24,0,4,19,1,0,0,4,1,32.5,1
1187,2.67,40,24,0,4,18,1,0,0,9,1,40,0
1188,4,60,30,0,4,18,1,0,0,2,1,60,0
1189,3.67,38,26,0,4,19,1,0,0,5,1,37.5,0
1190,2,50,25,1,3,18,1,0,1,3,1,22.5,0
1191,4,24,29,0,5,18,1,0,0,2,1,25,0
1192,4,32,27,0,4,19,1,0,0,9,1,32.5,0
1193,3.33,34,27,0,3,18,1,0,0,6,1,50,1
1194,3,32,22,0,2,19,1,0,1,9,1,32.5,0
1195,3.67,30,22,0,4,18,1,0,0,6,1,12.5,1
1196,4,52,28,0,4,18,1,0,0,9,1,55,0
1197,4,40,29,0,6,19,1,0,1,8,1,32.5,1
1198,3.67,50,34,0,4,19,1,0,0,8,1,30,0
1199,3,26,24,0,4,19,1,0,0,5,1,30,0
1200,4,42,30,0,4,18,1,0,0,2,1,37.5,0
1201,4,52.5,30,1,4,18,1,0,0,8,1,47.5,0
1202,4,44,31,0,4,18,1,0,0,9,1,35,1
1203,3.67,50,28,1,4,18,1,0,0,8,1,22.5,0
1204,3,48,33,1,4,19,1,0,0,10,1,42.5,0
1205,3.67,44,29,1,1,18,1,0,0,8,1,37.5,0
1206,2.33,60,28,0,5,19,1,0,0,9,1,60,1
1207,3.33,56,22,0,4,19,1,0,0,9,1,32.5,0
1208,4,56,21,0,3,18,1,0,1,4,1,55,0
1209,2.67,46,20,1,2,19,1,0,1,11,1,22.5,1
1210,4,52,28,1,4,19,1,1,1,3,1,17.5,0
1211,2.33,46,25,0,4,18,1,1,1,4,1,45,1
1212,3.67,50,28,0,4,19,1,0,0,3,1,30,1
1213,3.33,28,25,0,4,18,1,0,0,2,1,35,0
1214,4,60,31,0,4,18,1,0,0,3,1,55,0
1215,4,58,30,0,4,19,1,1,0,9,1,45,0
1216,4,60,30,0,4,19,1,0,0,7,1,42.5,0
1217,3.67,60,18,0,4,19,1,0,0,7,1,52.5,1
1218,2.67,14,23,1,4,19,1,1,1,2,1,25,0
1219,3.67,60,26,1,4,19,1,0,0,11,1,37.5,0
1220,2,24,19,0,4,18,1,0,1,10,0,17.5,0
1221,3.33,12,16,0,2,18,0,0,1,10,1,45,1
1222,2.33,58,22,0,4,19,1,0,1,11,1,60,0
1223,3.67,40,22,0,1,18,1,0,1,11,1,20,0
1224,4,52,27,0,4,18,1,0,0,1,1,52.5,1
1225,2.33,40,19,1,4,19,1,0,1,1,1,42.5,0
1226,3.67,50,29,1,3,19,1,0,1,1,1,50,0
1227,3.33,52,18,0,2,18,1,0,1,9,1,60,0
1228,4,47.5,22,1,4,18,1,0,0,11,1,15,0
1229,3.67,48,27,1,4,18,1,0,0,6,1,30,0
1230,3.67,50,26,0,4,18,1,0,1,9,1,45,0
1231,4,44,24,0,1,18,1,0,0,9,1,42.5,0
1232,4,34,24,0,4,18,1,0,0,9,1,50,0
1233,3.67,26,23,1,4,19,1,0,1,5,1,17.5,1
1234,3.67,60,28,0,4,18,1,0,0,9,1,50,1
1235,4,46,28,0,4,19,1,0,0,4,1,32.5,0
1236,4,32.5,17,1,3,19,1,0,1,10,0,17.5,0
1237,3.67,35,17,0,1,19,1,0,1,2,1,20,1
1238,3,42,16,0,3,18,1,0,1,3,1,37.5,0
1239,2.67,38,22,0,2,18,1,0,0,10,1,20,1
1240,2.67,44,18,0,2,19,1,0,1,5,1,60,1
1241,3,8,26,0,3,18,1,0,1,4,1,47.5,1
1242,3,54,17,0,3,18,1,0,1,9,1,52.5,0
1243,1.67,24,17,1,1,18,0,0,1,11,1,27.5,0
1244,2.33,14,26,1,3,18,1,0,1,9,1,10,1
1245,4,4,19,0,5,18,1,0,1,4,1,27.5,1
1246,2.33,36,17,0,5,20,1,0,1,11,0,27.5,1
1247,3,24,16,0,3,18,1,0,1,11,1,40,0
1248,2.33,52,18,0,3,18,1,0,1,1,1,40,0
1249,4,36,31,0,4,18,1,0,0,1,1,42.5,0
1250,3.33,36,22,0,3,18,1,0,0,3,1,25,0
1251,2.67,44,21,0,3,18,1,0,1,5,1,30,1
1252,2.67,27.5,23,0,3,18,1,0,1,5,1,20,0
1253,3.33,12,24,0,4,18,1,0,1,9,1,15,1
1254,3,40,20,0,3,18,1,0,1,8,1,42.5,0
1255,4,60,31,1,5,18,1,0,0,3,1,60,0
1256,3,36,30,0,1,18,1,0,0,8,1,52.5,0
1257,4,32.5,23,0,6,18,1,0,0,5,1,52.5,1
1258,3.33,47.5,18,0,3,18,1,0,1,11,1,60,0
1259,2.67,38,24,0,4,18,1,0,1,2,1,40,0
1260,3.33,36,20,0,1,19,1,0,0,4,1,52.5,0
1261,3.67,60,23,0,6,18,1,0,1,5,1,60,0
1262,2.33,16,17,1,5,18,1,0,1,5,1,37.5,1
1263,4,40,18,0,5,18,1,0,1,7,1,40,0
1264,4,30,16,1,4,18,1,0,1,10,1,60,1
1265,3.33,60,15,1,3,18,1,0,1,5,1,40,0
1266,2.33,46,15,0,3,18,1,0,1,4,1,60,0
1267,3.67,37.5,21,0,3,18,1,0,1,11,1,60,0
1268,2,52,15,0,3,18,1,0,1,4,1,35,0
1269,3,42,20,0,4,18,1,0,0,6,1,30,0
1270,3.33,60,21,1,3,18,1,0,1,8,1,45,0
1271,3.67,48,30,1,4,19,1,0,1,6,1,30,1
1272,3.67,28,31,0,4,19,1,0,0,6,1,35,0
1273,4,36,28,0,6,18,1,0,0,1,1,30,0
1274,3.67,60,21,0,6,18,1,1,1,5,1,57.5,1
1275,4,46,27,0,6,18,1,1,0,2,1,52.5,0
1276,3.67,46,29,0,3,18,1,0,1,1,1,37.5,1
1277,2.33,50,13,0,3,18,1,0,1,10,1,60,0
1278,3,40,17,0,3,18,1,0,1,10,1,27.5,1
1279,3.67,44,16,1,2,19,1,0,0,5,1,47.5,0
1280,3,40,24,0,1,18,1,0,1,2,1,55,0
1281,3,44,24,0,4,18,1,0,1,4,1,50,1
1282,3.33,50,25,1,4,23,1,1,0,3,1,25,0
1283,3.33,44,17,0,2,18,1,0,1,4,1,42.5,1
1284,2.67,46,19,0,5,19,1,1,1,7,0,60,0
1285,3.67,22,21,0,3,18,1,0,0,3,1,22.5,0
1286,3,30,18,0,3,18,1,0,1,5,1,30,0
1287,2.67,38,24,0,3,18,1,0,0,5,1,42.5,1
1288,2.67,50,20,0,5,18,1,0,1,4,1,37.1428571428571,0
1289,4,54,24,0,2,18,1,0,0,4,1,32.5,0
1290,4,45,23,0,4,19,1,0,0,2,1,20,1
1291,2.33,22,18,1,5,19,1,0,0,8,1,22.5,0
1292,4,52,32,1,4,18,1,0,0,9,1,27.5,1
1293,3.67,30,27,1,4,18,1,0,0,2,1,17.5,0
1294,3.33,0,22,0,3,18,1,0,1,2,1,0,0
1295,2.67,18,21,0,3,20,1,0,0,2,1,20,1
1296,3.67,50,33,1,6,18,1,0,0,2,1,27.5,0
1297,2.67,32,22,0,2,18,1,0,1,3,1,20,0
1298,3.67,28,21,0,3,19,1,0,1,4,1,5.71428571428571,1
1299,3,38,25,0,5,18,1,0,1,5,1,22.5,1
1300,3,45,28,0,1,19,1,0,1,1,1,32.5,0
1301,3.33,44,29,1,5,19,1,0,0,8,1,40,0
1302,3.67,50,31,0,1,18,1,0,0,1,1,47.5,0
1303,3.67,50,32,0,6,18,1,0,0,8,1,42.5,0
1304,3.33,40,28,0,6,18,1,0,0,8,1,37.5,1
1305,3.67,52.5,34,0,4,18,1,0,0,8,1,57.5,0
1306,4,50,28,0,6,18,1,1,0,11,1,60,1
1307,4,32,26,0,4,18,1,0,0,1,1,27.5,1
1308,3.67,50,27,0,4,18,1,0,0,4,1,47.5,0
1309,2.67,30,25,1,4,18,1,0,0,8,1,32.5,1
1310,3,50,23,0,4,19,1,0,0,11,1,20,0
1311,3.67,34,29,0,3,18,1,0,0,5,1,60,1
1312,3.67,34,34,0,4,18,1,0,0,4,1,22.5,0
1313,3.33,40,28,0,6,18,1,0,0,1,1,37.5,0
1314,3.67,40,33,0,4,18,1,0,0,2,1,35,0
1315,3,60,29,0,4,19,1,0,0,2,1,40,1
1316,3.33,42.5,21,0,4,18,1,0,0,4,1,25,0
1317,4,52,21,0,3,18,1,0,1,2,1,25,1
1318,4,42,26,0,4,18,1,0,1,9,1,30,0
1319,2.67,42,17,0,3,19,0,0,1,2,0,47.5,0
1320,3.33,32,17,0,3,18,0,0,1,4,1,40,0
1321,3.33,40,23,1,3,19,1,0,0,10,1,52.5,0
1322,3.33,32,19,1,3,18,1,1,1,8,1,25,0
1323,2.67,32,23,1,4,19,1,0,0,7,1,15,1
1324,3.67,44,25,0,4,18,1,1,0,9,1,47.5,0
1325,2.33,37.5,28,1,4,18,1,0,1,8,1,35,1
1326,2,14,23,0,4,19,1,1,1,9,1,12.5,1
1327,3.33,48,23,0,6,18,1,0,1,4,1,42.5,1
1328,3,47.5,22,0,1,19,1,0,0,1,1,25,1
1329,2.67,30,18,0,3,18,1,0,1,9,1,40,1
1330,3.33,50,20,0,1,19,1,0,0,2,1,52.5,0
1331,3,38,23,1,6,18,1,0,1,6,1,35,1
1332,3.33,60,30,1,4,18,1,0,0,4,0,57.5,0
1333,3,46,31,1,4,19,1,0,0,2,1,40,0
1334,3,32,24,0,6,19,1,0,0,7,1,25,0
1335,4,48,31,1,4,18,1,0,0,11,1,35,0
1336,3.67,48,27,1,2,18,1,0,1,3,1,35,1
1337,2.33,60,19,1,4,19,1,1,0,11,1,60,1
1338,3.67,46,33,0,6,18,1,1,0,2,1,35,1
1339,3.33,48,28,0,4,18,1,0,0,11,1,37.1428571428571,0
1340,4,40,28,1,1,19,1,1,1,4,1,30,1
1341,3,32,31,1,4,18,1,0,1,8,1,5,1
1342,2.67,37.5,32,1,4,18,1,0,0,8,1,20,0
1343,2,25,30,1,4,19,1,0,0,8,0,12.5,0
1344,3,42,34,1,4,17,1,0,0,8,1,52.5,1
1345,3.33,47.5,28,0,1,18,1,0,1,8,1,45,1
1346,3,52,28,0,4,18,1,0,0,8,1,45,0
1347,2.33,48,24,0,4,18,1,0,0,5,1,27.5,1
1348,4,60,29,0,4,18,1,0,0,1,1,37.5,0
1349,3.33,60,23,0,4,18,1,0,0,2,1,40,1
1350,3.67,38,24,0,5,18,1,0,1,8,1,45,0
1351,4,50,33,1,4,18,1,0,0,2,1,30,0
1352,4,58,30,0,6,19,1,0,0,4,1,50,1
1353,1.67,50,29,1,4,18,0,0,1,3,1,42.5,0
1354,3,60,25,0,4,18,1,0,1,7,1,40,0
1355,3,60,23,0,4,18,1,0,0,8,1,40,1
1356,4,28,22,0,5,18,1,0,0,1,1,17.5,0
1357,3.33,34,24,1,4,18,1,0,0,5,1,37.5,0
1358,3.67,60,28,0,4,18,1,0,0,1,1,37.5,0
1359,2.67,30,26,0,4,19,1,0,0,10,1,40,1
1360,3.33,36,25,0,4,19,1,0,1,4,1,25,1
1361,3,54,24,0,4,18,1,0,1,4,1,45,1
1362,3.67,56,28,0,6,18,1,0,1,2,1,55,0
1363,3,40,24,0,4,18,1,0,1,9,1,50,0
1364,3,34,24,0,4,18,1,0,0,8,1,50,0
1365,3.67,28,21,0,2,18,1,0,1,6,1,40,0
1366,3.67,15,22,0,4,18,1,0,0,7,1,7.5,1
1367,3.33,48,22,0,4,18,1,0,0,11,1,40,0
1368,4,60,20,0,4,18,1,0,0,11,1,55,0
1369,3,38,23,1,4,18,1,0,1,4,1,60,0
1370,4,52,31,0,3,19,1,0,0,7,0,55,1
1371,2.33,48,23,1,2,18,1,0,1,1,1,35,1
1372,3.67,42,25,1,6,18,1,0,0,1,1,40,1
1373,3,40,23,1,4,19,1,0,0,11,1,32.5,0
1374,3,50,27,1,6,18,1,0,0,10,1,37.5,1
1375,4,50,29,0,4,19,1,0,0,4,1,32.5,0
1376,3.33,42,21,1,4,18,1,0,0,9,1,47.5,0
1377,2,57.5,28,0,4,18,1,0,0,8,1,47.5,0
1378,4,50,31,0,4,17,1,0,0,2,1,40,1
1379,3.67,56,24,1,6,19,1,0,0,4,1,50,0
1380,2.67,46,20,1,4,19,1,0,1,2,1,40,1
1381,3.67,45,28,1,4,19,1,0,0,8,1,32.5,0
1382,3,26,30,0,4,19,1,0,0,2,1,42.5,0
1383,3,18,27,0,4,18,1,0,0,2,1,12.5,0
1384,4,30,34,0,4,18,1,0,0,2,1,37.5,0
1385,3.33,60,26,0,4,19,1,0,1,4,1,55,0
1386,3,36,26,0,2,19,1,0,0,8,1,55,1
1387,4,46,27,0,4,18,1,0,0,8,1,15,1
1388,4,38,25,0,4,18,1,0,1,2,1,52.5,1
1389,4,60,29,1,4,19,1,0,1,2,1,47.5,0
1390,3.67,52,21,1,4,18,1,0,1,7,1,27.5,1
1391,3,44,30,0,4,18,1,0,0,4,1,35,0
1392,3.67,56,30,0,4,18,1,0,0,2,1,37.5,1
1393,3.33,50,23,1,4,19,1,0,0,11,1,30,0
1394,3.67,58,29,1,4,19,1,0,0,2,1,37.5,0
1395,3.67,28,23,1,4,19,1,0,0,8,1,17.5,0
1396,3,54,23,1,4,18,1,0,1,4,1,40,0
1397,2,36,24,0,4,18,1,0,0,8,1,15,0
1398,3,28,24,0,4,19,1,0,0,3,1,22.5,0
1399,3,52,22,1,4,18,1,0,1,6,1,32.5,1
1400,3.67,42,26,0,4,19,1,0,0,10,1,37.5,1
1401,3.67,40,21,0,4,19,1,0,0,1,1,37.5,0
1402,4,60,29,0,6,19,1,0,0,8,1,47.5,1
1403,2.67,46,25,1,4,18,1,0,0,11,1,55,0
1404,2.33,54,19,0,4,18,1,0,1,6,1,60,1
1405,4,54,26,0,4,18,1,0,0,5,1,32.5,1
1406,3,42,21,0,4,18,1,0,1,5,1,17.5,0
1407,4,58,25,1,6,18,1,0,1,2,1,42.5,0
1408,4,50,33,1,4,19,1,0,0,8,1,32.5,0
1409,4,38,26,0,4,18,1,0,1,2,1,37.5,0
1410,3.33,42.5,31,0,4,18,1,0,0,5,1,12.5,1
1411,3.67,44,21,0,4,20,1,0,0,2,0,42.8571428571429,1
1412,3.33,60,28,0,4,18,1,1,0,5,1,55,1
1413,4,52,34,1,4,19,1,0,0,2,1,30,0
1414,3.67,50,31,1,4,18,1,0,0,3,1,42.5,0
1415,4,44,26,0,4,18,1,0,0,1,1,15,1
1416,3.33,38,29,1,4,19,1,0,0,2,1,22.5,1
1417,4,16,22,0,1,18,1,0,0,3,1,40,1
1418,3.33,40,26,0,4,19,1,0,0,6,1,60,1
1419,4,38,35,0,4,18,1,0,0,4,1,30,0
1420,1.67,45,24,1,4,18,1,0,1,1,1,40,0
1421,4,50,15,0,5,18,1,0,1,9,1,35,0
1422,4,58,25,0,4,20,1,0,1,2,1,35,0
1423,3.67,54,20,0,6,29,1,0,0,9,0,40,1
1424,3.67,32.5,20,0,4,18,1,0,0,2,1,30,0
1425,2.67,50,17,0,5,18,1,0,1,9,1,47.5,0
1426,3,42,20,0,5,18,1,0,1,5,1,40,1
1427,2.67,38,18,0,5,19,1,0,1,1,1,52.5,0
1428,3.33,48,24,0,4,31,1,0,1,9,0,52.5,1
1429,3,38,21,0,4,20,1,0,0,5,0,12.5,1
1430,4,42,23,0,3,19,1,0,0,9,0,32.5,1
1431,4,40,26,0,4,18,1,0,0,7,1,60,1
1432,4,60,19,0,4,19,1,0,1,7,1,52.5,1
1433,4,30,29,0,4,19,1,0,0,9,1,20,1
1434,3.67,45,16,1,6,19,0,0,0,5,1,40,0
